sgd_id	gene_id	gene_symbol	gene_name	gene_alias	chr	type
S000003521	YGR289C	MAL11	MALtose fermentation	AGT1|alpha-glucoside permease|MALT	chrVII	ORF
S000003522	YGR290W				chrVII	ORF
S000003523	YGR291C				chrVII	ORF
S000003524	YGR292W	MAL12	MALtose fermentation	alpha-glucosidase MAL12|MALS	chrVII	ORF
S000003525	YGR293C				chrVII	ORF
S000003526	YGR294W	PAU12	seriPAUperin	seripauperin PAU12	chrVII	ORF
S000003527	YGR295C	COS6	COnserved Sequence		chrVII	ORF
S000003528	YGR296W	YRF1-3		Y' element ATP-dependent helicase protein 1 copy 3|YRF1	chrVII	ORF
S000003529	YHR001W-A	QCR10	ubiQuinol-cytochrome C oxidoReductase	ubiquinol--cytochrome-c reductase subunit 10	chrVIII	ORF
S000003530	YHR005C-A	TIM10	Translocase of the Inner Membrane	MRS11|protein transporter TIM10	chrVIII	ORF
S000003531	YHR021W-A	ECM12	ExtraCellular Mutant		chrVIII	ORF
S000003532	YHR049C-A				chrVIII	ORF
S000003533	YHR139C-A				chrVIII	ORF
S000003535	YHR214W-A				chrVIII	ORF
S000003536	YIL014C-A			YIL015C-A	chrIX	ORF
S000003538	YJL001W	PRE3	PRoteinase yscE	CRL21|proteasome core particle subunit beta 1	chrX	ORF
S000003539	YJL002C	OST1	OligoSaccharylTransferase	dolichyl-diphosphooligosaccharide--protein glycotransferase subunit OST1|NLT1	chrX	ORF
S000003540	YJL003W	COX16	Cytochrome c OXidase		chrX	ORF
S000003541	YJL004C	SYS1	Suppressor of Ypt Six		chrX	ORF
S000003542	YJL005W	CYR1	CYclic AMP Requirement	adenylate cyclase|CDC35|FIL1|HSR1|SRA4|TSM0185	chrX	ORF
S000003543	YJL006C	CTK2	Carboxy-Terminal domain Kinase		chrX	ORF
S000003544	YJL007C				chrX	ORF
S000003545	YJL008C	CCT8	Chaperonin Containing TCP-1	chaperonin-containing T-complex subunit CCT8	chrX	ORF
S000003546	YJL009W				chrX	ORF
S000003547	YJL010C	NOP9	NucleOlar Protein	RNA-binding RNA processing protein NOP9	chrX	ORF
S000003548	YJL011C	RPC17	RNA Polymerase C	C17|DNA-directed RNA polymerase III subunit RPC17	chrX	ORF
S000003549	YJL012C	VTC4	Vacuolar Transporter Chaperone	PHM3|YJL012C-A	chrX	ORF
S000003550	YJL013C	MAD3	Mitotic Arrest-Deficient		chrX	ORF
S000003551	YJL014W	CCT3	Chaperonin Containing TCP-1	BIN2|chaperonin-containing T-complex subunit CCT3|TCP3	chrX	ORF
S000003552	YJL015C				chrX	ORF
S000003553	YJL016W	TPH3	Twin PH domain-3	YJL017W	chrX	ORF
S000003556	YJL019W	MPS3	MonoPolar Spindle	NEP98|YJL018W	chrX	ORF
S000003557	YJL020C	BBC1	Bni1 synthetic lethal and Bee1 (las17) Complex member	MTI1|YJL021C	chrX	ORF
S000003559	YJL022W				chrX	ORF
S000003560	YJL023C	PET130	PETite colonies		chrX	ORF
S000003561	YJL024C	APS3	clathrin Associated Protein complex Small subunit	YKS7	chrX	ORF
S000003562	YJL025W	RRN7	Regulation of RNA polymerase I		chrX	ORF
S000003563	YJL026W	RNR2	RiboNucleotide Reductase	CRT6|ribonucleotide-diphosphate reductase subunit RNR2	chrX	ORF
S000003564	YJL027C				chrX	ORF
S000003565	YJL028W				chrX	ORF
S000003566	YJL029C	VPS53	Vacuolar Protein Sorting		chrX	ORF
S000003567	YJL030W	MAD2	Mitotic Arrest-Deficient	spindle checkpoint protein MAD2	chrX	ORF
S000003568	YJL031C	BET4	Blocked Early in Transport	Rab geranylgeranyltransferase BET4	chrX	ORF
S000003569	YJL032W				chrX	ORF
S000003570	YJL033W	HCA4	Helicase CA	DBP4|ECM24|RNA-dependent ATPase HCA4	chrX	ORF
S000003571	YJL034W	KAR2	KARyogamy	BIP|GRP78|Hsp70 family ATPase KAR2	chrX	ORF
S000003572	YJL035C	TAD2	tRNA-specific Adenosine Deaminase	tRNA(adenine34) deaminase	chrX	ORF
S000003573	YJL036W	SNX4	Sorting NeXin	ATG24|CVT13	chrX	ORF
S000003574	YJL037W	IRC18	Increased Recombination Centers	OSW6	chrX	ORF
S000003575	YJL038C	LOH1	Loss Of Heterozygosity	OSW4	chrX	ORF
S000003576	YJL039C	NUP192	NUclear Pore		chrX	ORF
S000003577	YJL041W	NSP1	NucleoSkeletal-like Protein	FG-nucleoporin NSP1	chrX	ORF
S000003578	YJL042W	MHP1	MAP-Homologous Protein		chrX	ORF
S000003579	YJL043W				chrX	ORF
S000003580	YJL044C	GYP6	Gtpase-activating protein of Ypt6 Protein	GTPase-activating protein GYP6	chrX	ORF
S000003581	YJL045W	SDH9	Succinate DeHydrogenase	SDH1b|succinate dehydrogenase SDH1b	chrX	ORF
S000003582	YJL046W	AIM22	Altered Inheritance rate of Mitochondria	LIP3|putative lipoate--protein ligase|RRG3	chrX	ORF
S000003583	YJL047C	RTT101	Regulator of Ty1 Transposition	CUL8|CULC|cullin RTT101	chrX	ORF
S000003584	YJL048C	UBX6	UBiquitin regulatory X	CUI2	chrX	ORF
S000003585	YJL049W	CHM7	CHarged Multivesicular body protein		chrX	ORF
S000003586	YJL050W	MTR4	Mrna TRansport	ATP-dependent RNA helicase MTR4|DOB1	chrX	ORF
S000003587	YJL051W	IRC8	Increased Recombination Centers		chrX	ORF
S000003588	YJL052W	TDH1	Triose-phosphate DeHydrogenase	GAPDH|GLD3|glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH1	chrX	ORF
S000003589	YJL053W	PEP8	carboxyPEPtidase Y-deficient	GRD6|retromer subunit PEP8|VPS26|VPT4	chrX	ORF
S000003590	YJL054W	TIM54	Translocase of the Inner Mitochondrial membrane		chrX	ORF
S000003591	YJL055W	LOG1	LOnely Guy		chrX	ORF
S000003592	YJL056C	ZAP1	Zinc-responsive Activator Protein	ZRG10	chrX	ORF
S000003593	YJL057C	IKS1		protein kinase IKS1	chrX	ORF
S000003594	YJL058C	BIT61	Binding partner of Tor2p		chrX	ORF
S000003595	YJL059W	YHC3	Yeast Homolog of human Cln3	amino acid transporter YHC3|BTN1	chrX	ORF
S000003596	YJL060W	BNA3	Biosynthesis of Nicotinic Acid	kynurenine--oxoglutarate transaminase	chrX	ORF
S000003597	YJL061W	NUP82	NUclear Pore	HRB187|linker nucleoporin NUP82	chrX	ORF
S000003598	YJL062W	LAS21	Local Anestheticum Sensitive	GPI7|mannose-ethanolamine phosphotransferase LAS21	chrX	ORF
S000003599	YJL063C	MRPL8	Mitochondrial Ribosomal Protein, Large subunit	bL17m|HRD238|mitochondrial 54S ribosomal protein YmL8|YmL8	chrX	ORF
S000003600	YJL064W				chrX	ORF
S000003601	YJL065C	DLS1	Dpb3-Like Subunit of ISW2/yCHRAC complex		chrX	ORF
S000003602	YJL066C	MPM1	Mitochondrial Peculiar Membrane protein		chrX	ORF
S000003603	YJL067W				chrX	ORF
S000003604	YJL068C			SFGH|S-formylglutathione hydrolase	chrX	ORF
S000003605	YJL069C	UTP18	U Three Protein		chrX	ORF
S000003606	YJL070C			metallo-dependent hydrolase superfamily protein	chrX	ORF
S000003607	YJL071W	ARG2	ARGinine requiring	acetyl-CoA:L-glutamate N-acetyltransferase|HRB574	chrX	ORF
S000003608	YJL072C	PSF2	Partner of Sld Five	CDC102|DNA replication protein PSF2	chrX	ORF
S000003609	YJL073W	JEM1	DnaJ-like protein of the ER Membrane	KAR8	chrX	ORF
S000003610	YJL074C	SMC3	Stability of MiniChromosomes	cohesin subunit SMC3	chrX	ORF
S000003611	YJL075C	APQ13			chrX	ORF
S000003612	YJL076W	NET1	Nucleolar silencing Establishing factor and Telophase regulator	CFI1|ESC5|SRM8	chrX	ORF
S000003613	YJL077C	ICS3	Increased Copper Sensitivity		chrX	ORF
S000003614	YJL078C	PRY3	Pathogen Related in Yeast		chrX	ORF
S000003615	YJL079C	PRY1	Pathogen Related in Yeast	sterol-binding protein	chrX	ORF
S000003616	YJL080C	SCP160	S. cerevisiae protein involved in the Control of Ploidy		chrX	ORF
S000003617	YJL081C	ARP4	Actin-Related Protein	ACT3	chrX	ORF
S000003618	YJL082W	IML2	Increased Minichromosome Loss		chrX	ORF
S000003619	YJL083W	TAX4			chrX	ORF
S000003620	YJL084C	ALY2	Arrestin-Like Yeast protein	ART3	chrX	ORF
S000003621	YJL085W	EXO70	EXOcyst	GTP-Rho binding exocyst subunit EXO70	chrX	ORF
S000003622	YJL086C				chrX	ORF
S000003623	YJL087C	TRL1	tRNA Ligase	LIG1|RLG1|tRNA ligase	chrX	ORF
S000003624	YJL088W	ARG3	ARGinine requiring	argF|ornithine carbamoyltransferase	chrX	ORF
S000003625	YJL089W	SIP4	SNF1-Interacting Protein		chrX	ORF
S000003626	YJL090C	DPB11	DNA Polymerase B (II)	protein kinase activating protein DPB11	chrX	ORF
S000003627	YJL091C	GWT1	GPI-anchored Wall protein Transfer	glucosaminyl-phosphotidylinositol O-acyltransferase	chrX	ORF
S000003628	YJL092W	SRS2	Suppressor of Rad Six	DNA helicase SRS2|HPR5|RADH|RADH1	chrX	ORF
S000003629	YJL093C	TOK1		DUK1|YKC1|YORK|YPK1	chrX	ORF
S000003630	YJL094C	KHA1	K/H ion Antiporter		chrX	ORF
S000003631	YJL095W	BCK1	Bypass of C Kinase	LAS3|mitogen-activated protein kinase kinase kinase BCK1|SAP3|SLK1|SSP31	chrX	ORF
S000003632	YJL096W	MRPL49	Mitochondrial Ribosomal Protein, Large subunit	bL21m|mitochondrial 54S ribosomal protein YmL49|YmL49	chrX	ORF
S000003633	YJL097W	PHS1	PTPLA Homolog involved in Sphingolipid biosynthesis	enoyl-CoA hydratase PHS1	chrX	ORF
S000003634	YJL098W	SAP185	Sit4 Associated Protein		chrX	ORF
S000003635	YJL099W	CHS6	CHitin Synthase-related	CSD3	chrX	ORF
S000003636	YJL100W	LSB6	Las Seventeen Binding protein	1-phosphatidylinositol 4-kinase LSB6	chrX	ORF
S000003637	YJL101C	GSH1	glutathione (GSH)	glutamate--cysteine ligase	chrX	ORF
S000003638	YJL102W	MEF2	Mitochondrial Elongation Factor		chrX	ORF
S000003639	YJL103C	GSM1	Glucose Starvation Modulator		chrX	ORF
S000003640	YJL104W	PAM16	Presequence translocase-Associated Motor	import motor complex subunit PAM16|MIA1|TIM16	chrX	ORF
S000003641	YJL105W	SET4	SET domain-containing		chrX	ORF
S000003642	YJL106W	IME2	Inducer of MEiosis	protein kinase IME2|SME1	chrX	ORF
S000003643	YJL107C				chrX	ORF
S000003644	YJL108C	PRM10	Pheromone-Regulated Membrane protein	pheromone-regulated protein PRM10	chrX	ORF
S000003645	YJL109C	UTP10	U Three Protein	snoRNA-binding rRNA-processing protein UTP10	chrX	ORF
S000003646	YJL110C	GZF3	Gata Zinc Finger protein	DEH1|NIL2	chrX	ORF
S000003647	YJL111W	CCT7	Chaperonin Containing TCP-1	chaperonin-containing T-complex subunit CCT7|TCP7	chrX	ORF
S000003648	YJL112W	MDV1	Mitochondrial DiVision	GAG3|NET2	chrX	ORF
S000003651	YJL115W	ASF1	Anti-Silencing Function	CIA1|nucleosome assembly factor ASF1	chrX	ORF
S000003652	YJL116C	NCA3	Nuclear Control of ATPase	SUN family protein NCA3	chrX	ORF
S000003653	YJL117W	PHO86	PHOsphate metabolism		chrX	ORF
S000003654	YJL118W				chrX	ORF
S000003655	YJL119C				chrX	ORF
S000003656	YJL120W				chrX	ORF
S000003657	YJL121C	RPE1	Ribulose 5-Phosphate Epimerase	EPI1|POS18|ribulose-phosphate 3-epimerase RPE1	chrX	ORF
S000003658	YJL122W	ALB1	Arx1 Little Brother		chrX	ORF
S000003659	YJL123C	MTC1	Maintenance of Telomere Capping		chrX	ORF
S000003660	YJL124C	LSM1	Like SM	SPB8	chrX	ORF
S000003661	YJL125C	GCD14	General Control Nonderepressible	TRM61|tRNA 1-methyladenosine methyltransferase subunit GCD14	chrX	ORF
S000003662	YJL126W	NIT2	NITrilase superfamily	putative hydrolase	chrX	ORF
S000003663	YJL127C	SPT10	SuPpressor of Ty	CRE1|SUD1	chrX	ORF
S000003664	YJL128C	PBS2	Polymyxin B Sensitivity	HOG4|mitogen-activated protein kinase kinase PBS2|SFS4|SSK4	chrX	ORF
S000003665	YJL129C	TRK1	TRansport of potassium (K)		chrX	ORF
S000003666	YJL130C	URA2	URAcil requiring	bifunctional carbamoylphosphate synthetase/aspartate transcarbamylase	chrX	ORF
S000003667	YJL131C	AIM23	Altered Inheritance rate of Mitochondria	MIF3	chrX	ORF
S000003668	YJL132W				chrX	ORF
S000003669	YJL133W	MRS3	Mitochondrial RNA Splicing	Fe(2+) transporter	chrX	ORF
S000003670	YJL134W	LCB3	Long-Chain Base	LBP1|sphinganine kinase LCB3|YSR2	chrX	ORF
S000003671	YJL135W				chrX	ORF
S000003672	YJL136C	RPS21B	Ribosomal Protein of the Small subunit	eS21|ribosomal 40S subunit protein S21B|S21B|S21e|S26B|YS25	chrX	ORF
S000003673	YJL137C	GLG2	Glycogenin-Like Gene	glycogenin glucosyltransferase GLG2	chrX	ORF
S000003674	YJL138C	TIF2	Translation Initiation Factor	eIF4A|translation initiation factor eIF4A	chrX	ORF
S000003675	YJL139C	YUR1	Yeast Unknown Reading frame	mannosyltransferase YUR1	chrX	ORF
S000003676	YJL140W	RPB4	RNA Polymerase B	B32|CTF15|DNA-directed RNA polymerase II subunit RPB4	chrX	ORF
S000003677	YJL141C	YAK1	Yet Another Kinase	serine/threonine protein kinase YAK1	chrX	ORF
S000003678	YJL142C	IRC9	Increased Recombination Centers		chrX	ORF
S000003679	YJL143W	TIM17	Translocase of the Inner Mitochondrial membrane	MIM17|MPI2|protein transporter TIM17|SMS1	chrX	ORF
S000003680	YJL144W	ROQ1	Regulator Of Quality control		chrX	ORF
S000003681	YJL145W	SFH5	Sec Fourteen Homolog		chrX	ORF
S000003682	YJL146W	IDS2	IME2-Dependent Signaling		chrX	ORF
S000003683	YJL147C	SMT1	Suppression of Mitochondrial Translation	MRX5	chrX	ORF
S000003684	YJL148W	RPA34	RNA Polymerase A	A34.5|CST21|DNA-directed RNA polymerase I subunit RPA34	chrX	ORF
S000003685	YJL149W	DAS1	Dst1-delta 6-Azauracil Sensitivity	DUH1|SCF ubiquitin ligase complex subunit DAS1	chrX	ORF
S000003686	YJL150W				chrX	ORF
S000003687	YJL151C	SNA3	Sensitivity to NA+		chrX	ORF
S000003688	YJL152W				chrX	ORF
S000003689	YJL153C	INO1	INOsitol requiring	APR1|inositol-3-phosphate synthase INO1	chrX	ORF
S000003690	YJL154C	VPS35	Vacuolar Protein Sorting	ENV1|GRD9|retromer subunit VPS35|VPT7	chrX	ORF
S000003691	YJL155C	FBP26	Fructose BisPhosphatase	fructose-2,6-bisphosphatase	chrX	ORF
S000003692	YJL156C	SSY5	Sulfonylurea Sensitive on YPD	RAA3	chrX	ORF
S000003693	YJL157C	FAR1	Factor ARrest	cyclin-dependent protein serine/threonine kinase inhibiting protein FAR1	chrX	ORF
S000003694	YJL158C	CIS3	CIk1 Suppressing	CCW11|CCW5|PIR4|SCW8	chrX	ORF
S000003695	YJL159W	HSP150	Heat Shock Protein	CCW7|heat shock protein HSP150|ORE1|PIR2	chrX	ORF
S000003696	YJL160C	PIR5	Protein with Internal Repeats	beta-1,3-glucan linked protein	chrX	ORF
S000003697	YJL161W	FMP33	Found in Mitochondrial Proteome		chrX	ORF
S000003698	YJL162C	JJJ2	J-protein (Type III)		chrX	ORF
S000003699	YJL163C				chrX	ORF
S000003700	YJL164C	TPK1	Takashi's Protein Kinase	cAMP-dependent protein kinase catalytic subunit TPK1|PKA1|SRA3	chrX	ORF
S000003701	YJL165C	HAL5	HALotolerance	protein kinase HAL5	chrX	ORF
S000003702	YJL166W	QCR8	ubiQuinol-cytochrome C oxidoReductase	COR5|ubiquinol--cytochrome-c reductase subunit 8	chrX	ORF
S000003703	YJL167W	ERG20	ERGosterol biosynthesis	bifunctional (2E,6E)-farnesyl diphosphate synthase/dimethylallyltranstransferase|BOT3|FDS1|FPP1	chrX	ORF
S000003704	YJL168C	SET2	SET domain-containing	EZL1|histone methyltransferase SET2|KMT3	chrX	ORF
S000003705	YJL169W				chrX	ORF
S000003706	YJL170C	ASG7	a-Specific Gene		chrX	ORF
S000003707	YJL171C	TOH1	TOS One Homolog		chrX	ORF
S000003708	YJL172W	CPS1	CarboxyPeptidase yscS	Gly-Xaa carboxypeptidase	chrX	ORF
S000003709	YJL173C	RFA3	Replication Factor A	RPA14|RPA3	chrX	ORF
S000003710	YJL174W	KRE9	Killer toxin REsistant		chrX	ORF
S000003711	YJL175W				chrX	ORF
S000003712	YJL176C	SWI3	SWItching deficient	HAF2|TYE2	chrX	ORF
S000003713	YJL177W	RPL17B	Ribosomal Protein of the Large subunit	L17B|L20B|L22|ribosomal 60S subunit protein L17B|uL22|YL17	chrX	ORF
S000003714	YJL178C	ATG27	AuTophaGy related	ETF1	chrX	ORF
S000003715	YJL179W	PFD1	PreFolDin	GIM6|prefolding complex chaperone subunit	chrX	ORF
S000003716	YJL180C	ATP12	ATP synthase	ATP synthase complex assembly protein ATP12	chrX	ORF
S000003717	YJL181W	RBH1	Ran Binding domain Homolog	RBH1	chrX	ORF
S000003718	YJL182C				chrX	ORF
S000003719	YJL183W	MNN11	MaNNosyltransferase	alpha-1,6-mannosyltransferase	chrX	ORF
S000003720	YJL184W	GON7		chromatin DNA-binding EKC/KEOPS complex subunit GON7|LDB6|PCC2	chrX	ORF
S000003721	YJL185C	ATG36	AuTophaGy related		chrX	ORF
S000003722	YJL186W	MNN5	MaNNosyltransferase	alpha-1,2-mannosyltransferase MNN5	chrX	ORF
S000003723	YJL187C	SWE1	Saccharomyces WEe1	tyrosine protein kinase SWE1|WEE1	chrX	ORF
S000003724	YJL188C	BUD19	BUD site selection		chrX	ORF
S000003725	YJL189W	RPL39	Ribosomal Protein of the Large subunit	eL39|L39|L39e|L46|ribosomal 60S subunit protein L39|RPL46|SPB2|YL40	chrX	ORF
S000003726	YJL190C	RPS22A	Ribosomal Protein of the Small subunit	ribosomal 40S subunit protein S22A|rp50|RPS24|S22A|S24A|S8|uS8|YS22	chrX	ORF
S000003727	YJL191W	RPS14B	Ribosomal Protein of the Small subunit	CRY2|ribosomal 40S subunit protein S14B|rp59B|S11|S14B|uS11	chrX	ORF
S000003728	YJL192C	SOP4	Suppressor Of Pma1-7	EMC7	chrX	ORF
S000003729	YJL193W				chrX	ORF
S000003730	YJL194W	CDC6	Cell Division Cycle	AAA family ATPase CDC6	chrX	ORF
S000003731	YJL195C				chrX	ORF
S000003732	YJL196C	ELO1	ELOngation defective	fatty acid elongase ELO1	chrX	ORF
S000003733	YJL197W	UBP12	UBiquitin-specific Protease	putative ubiquitin-specific protease UBP12	chrX	ORF
S000003734	YJL198W	PHO90	PHOsphate metabolism	SPX domain-containing inorganic phosphate transporter	chrX	ORF
S000003735	YJL199C	MBB1			chrX	ORF
S000003736	YJL200C	ACO2	ACOnitase	aconitate hydratase ACO2	chrX	ORF
S000003737	YJL201W	ECM25	ExtraCellular Mutant		chrX	ORF
S000003738	YJL202C				chrX	ORF
S000003739	YJL203W	PRP21	Pre-mRNA Processing	SPP91	chrX	ORF
S000003740	YJL204C	RCY1	ReCYcling		chrX	ORF
S000003741	YJL206C				chrX	ORF
S000003742	YJL205C	NCE101	NonClassical Export	NCE1|YJL205C-A|YJL206C-A	chrX	ORF
S000003743	YJL207C	LAA1	Large AP-1 Accessory		chrX	ORF
S000003744	YJL208C	NUC1	NUClease	ribonuclease	chrX	ORF
S000003745	YJL209W	CBP1	Cytochrome B mRNA Processing		chrX	ORF
S000003746	YJL210W	PEX2	PEroXin	CRT1|PAS5|ubiquitin-protein ligase peroxin 2	chrX	ORF
S000003747	YJL211C				chrX	ORF
S000003748	YJL212C	OPT1	OligoPeptide Transporter	DUG4|GSH11|HGT1|oligopeptide transporter OPT1	chrX	ORF
S000003749	YJL213W				chrX	ORF
S000003750	YJL214W	HXT8	HeXose Transporter	hexose transporter HXT8	chrX	ORF
S000003751	YJL215C				chrX	ORF
S000003752	YJL216C	IMA5	IsoMAltase	oligo-1,6-glucosidase IMA5	chrX	ORF
S000003753	YJL217W	REE1	REgulation of Enolase		chrX	ORF
S000003754	YJL218W			acetyltransferase	chrX	ORF
S000003755	YJL219W	HXT9	HeXose Transporter	hexose transporter HXT9	chrX	ORF
S000003756	YJL220W				chrX	ORF
S000003757	YJL221C	IMA4	IsoMAltase	FSP2|oligo-1,6-glucosidase IMA4	chrX	ORF
S000003758	YJL222W	VTH2	Vps Ten Homolog	signal sequence-binding protein	chrX	ORF
S000003759	YJL223C	PAU1	seriPAUperin family	seripauperin PAU1	chrX	ORF
S000003760	YJL225C			Y' element ATP-dependent helicase	chrX	ORF
S000003761	YJR001W	AVT1	Amino acid Vacuolar Transport		chrX	ORF
S000003762	YJR002W	MPP10	M Phase Phosphoproteins	rRNA-processing protein MPP10	chrX	ORF
S000003763	YJR003C	MRX12	Mitochondrial oRganization of gene eXpression (MIOREX)		chrX	ORF
S000003764	YJR004C	SAG1	Sexual AGglutination	AG(ALPHA)1	chrX	ORF
S000003765	YJR005W	APL1	clathrin Adaptor Protein complex Large chain	YAP80	chrX	ORF
S000003766	YJR006W	POL31	POLymerase	DNA-directed DNA polymerase delta subunit POL31|HUS2|HYS2|SDP5	chrX	ORF
S000003767	YJR007W	SUI2	SUppressor of Initiator codon	eIF2alpha|eIF2α|translation initiation factor eIF2 subunit alpha	chrX	ORF
S000003768	YJR008W	MHO1	Memo HOmolog		chrX	ORF
S000003769	YJR009C	TDH2	Triose-phosphate DeHydrogenase	GAPDH|GLD2|glyceraldehyde-3-phosphate dehydrogenase (phosphorylating) TDH2	chrX	ORF
S000003770	YJR010C-A	SPC1	Signal Peptidase Complex	signal peptidase complex subunit SPC1	chrX	ORF
S000003771	YJR010W	MET3	METhionine requiring	sulfate adenylyltransferase	chrX	ORF
S000003772	YJR011C	CAL4	Caf130-Associated regulator of RpL4		chrX	ORF
S000003773	YJR012C				chrX	ORF
S000003774	YJR013W	GPI14	GlycosylPhosphatidylInositol anchor biosynthesis	glycosylphosphatidylinositol-alpha 1,4 mannosyltransferase I|PMH1	chrX	ORF
S000003775	YJR014W	TMA22	Translation Machinery Associated	RBF22	chrX	ORF
S000003776	YJR015W				chrX	ORF
S000003777	YJR016C	ILV3	IsoLeucine-plus-Valine requiring	dihydroxy-acid dehydratase ILV3	chrX	ORF
S000003778	YJR017C	ESS1	ESSential	peptidylprolyl isomerase ESS1|PIN1|PTF1	chrX	ORF
S000003779	YJR018W				chrX	ORF
S000003780	YJR019C	TES1	ThioESterase	palmitoyl-CoA hydrolase|PTE1	chrX	ORF
S000003781	YJR020W				chrX	ORF
S000003782	YJR021C	REC107	RECombination	MER2	chrX	ORF
S000003783	YJR022W	LSM8	Like SM	U4/U6-U5 snRNP complex subunit LSM8	chrX	ORF
S000003784	YJR023C				chrX	ORF
S000003785	YJR024C	MDE1	Methylthioribulose-1-phosphate DEhydratase	methylthioribulose 1-phosphate dehydratase MDE1	chrX	ORF
S000003786	YJR025C	BNA1	Biosynthesis of Nicotinic Acid	3-hydroxyanthranilate 3,4-dioxygenase|HAD1	chrX	ORF
S000003791	YJR030C	RBH2	Ran Binding domain Homolog	RBH2	chrX	ORF
S000003792	YJR031C	GEA1	Guanine nucleotide Exchange on ARF	Arf family guanine nucleotide exchange factor GEA1	chrX	ORF
S000003793	YJR032W	CPR7	Cyclosporin-sensitive Proline Rotamase	peptidylprolyl isomerase CPR7	chrX	ORF
S000003794	YJR033C	RAV1	Regulator of (H+)-ATPase in Vacuolar membrane	SOI3	chrX	ORF
S000003795	YJR034W	PET191	PETite colonies		chrX	ORF
S000003796	YJR035W	RAD26	RADiation sensitive	DNA-dependent ATPase RAD26	chrX	ORF
S000003797	YJR036C	HUL4	Hect Ubiquitin Ligase	putative E3 ubiquitin-protein ligase HUL4	chrX	ORF
S000003798	YJR037W				chrX	ORF
S000003799	YJR038C				chrX	ORF
S000003800	YJR039W	MLO127	Mitochondrially LOcalized protein of 127 kDa		chrX	ORF
S000003801	YJR040W	GEF1	Glycerol Ethanol, Ferric requiring	CLC	chrX	ORF
S000003802	YJR041C	URB2	Unhealthy Ribosome Biogenesis	NPA2	chrX	ORF
S000003803	YJR042W	NUP85	NUclear Pore	RAT9	chrX	ORF
S000003804	YJR043C	POL32	POLymerase	DNA polymerase delta subunit POL32|REV5	chrX	ORF
S000003805	YJR044C	VPS55	Vacuolar Protein Sorting		chrX	ORF
S000003806	YJR045C	SSC1	Stress-Seventy subfamily C	ENS1|Hsp70 family ATPase SSC1|mtHSP70	chrX	ORF
S000003807	YJR046W	TAH11	Topo-A Hypersensitive	CDT1|SID2	chrX	ORF
S000003808	YJR047C	ANB1	ANaeroBically induced	eIF5A|eIF-5A|HYP1|TIF51B|translation elongation factor eIF-5A	chrX	ORF
S000003809	YJR048W	CYC1	CYtochrome C	cytochrome c isoform 1	chrX	ORF
S000003810	YJR049C	UTR1	Unidentified TRanscript	NADH/NAD(+) kinase	chrX	ORF
S000003811	YJR050W	ISY1	Interactor of SYf1p	NTC30|UTR3	chrX	ORF
S000003812	YJR051W	OSM1	OSMotic sensitivity	FRDS2|fumarate reductase	chrX	ORF
S000003813	YJR052W	RAD7	RADiation sensitive	UV-damaged DNA-binding protein RAD7	chrX	ORF
S000003814	YJR053W	BFA1	Byr-Four-Alike	IBD1	chrX	ORF
S000003815	YJR054W	KCH1	Potassium (K) regulator of CcH1	ERM6	chrX	ORF
S000003816	YJR055W	HIT1	HIgh Temperature growth		chrX	ORF
S000003817	YJR056C				chrX	ORF
S000003818	YJR057W	CDC8	Cell Division Cycle	bifunctional thymidylate/uridylate kinase	chrX	ORF
S000003819	YJR058C	APS2	clathrin Associated Protein complex Small subunit	YAP17	chrX	ORF
S000003820	YJR059W	PTK2	Putative serine/Threonine protein Kinase	protein kinase PTK2|STK2	chrX	ORF
S000003821	YJR060W	CBF1	Centromere Binding Factor	CEP1|CP1|CPF1|GFII	chrX	ORF
S000003822	YJR061W	MNN14	MaNNosyltransferase regulator		chrX	ORF
S000003823	YJR062C	NTA1	N-Terminal Amidase	amidase|DEA1	chrX	ORF
S000003824	YJR063W	RPA12	RNA Polymerase A	A12.2|DNA-directed RNA polymerase I core subunit RPA12|RRN4	chrX	ORF
S000003825	YJR064W	CCT5	Chaperonin Containing TCP-1	chaperonin-containing T-complex subunit CCT5|TCP5	chrX	ORF
S000003826	YJR065C	ARP3	Actin-Related Protein	ACT4|actin-related protein 3	chrX	ORF
S000003827	YJR066W	TOR1	Target Of Rapamycin	DRR1|phosphatidylinositol kinase-related protein kinase TOR1	chrX	ORF
S000003828	YJR067C	YAE1			chrX	ORF
S000003829	YJR068W	RFC2	Replication Factor C	replication factor C subunit 2	chrX	ORF
S000003830	YJR069C	HAM1	6-n-HydroxylAMinopurine sensitive	nucleoside triphosphate pyrophosphohydrolase HAM1	chrX	ORF
S000003831	YJR070C	LIA1	Ligand of eIF5A	deoxyhypusine monooxygenase|MMD1	chrX	ORF
S000003832	YJR071W				chrX	ORF
S000003833	YJR072C	NPA3	Nucleolar Preribosomal Associated	EPA1|GPN1|GTPase NPA3	chrX	ORF
S000003834	YJR073C	OPI3	OverProducer of Inositol	bifunctional phosphatidyl-N-methylethanolamine N-methyltransferase/phosphatidyl-N-dimethylethanolamine N-methyltransferase|PEM2	chrX	ORF
S000003835	YJR074W	MOG1	Multicopy suppressor Of ts Gsp1	Ran GTPase-binding protein MOG1	chrX	ORF
S000003836	YJR075W	HOC1	Homologous to OCh1	alpha-1,6-mannosyltransferase	chrX	ORF
